Time,Amplitude
0.0,0.0
0.0005,0.12379061251596354
0.001,0.23195385888136463
0.0015000000000000002,0.3108351766004597
0.002,0.3504765631286196
0.0025,0.34587367726903806
0.0030000000000000005,0.29760758879118276
0.0035000000000000005,0.21177142399896998
0.004,0.09920116753537819
0.0045000000000000005,-0.02589227575256772
0.005,-0.14771706994481146
0.0055000000000000005,-0.25089401441890224
0.006000000000000001,-0.3223980190099057
0.006500000000000001,-0.35320239552019267
0.007000000000000001,-0.33941838969786925
0.007500000000000001,-0.28278609880579647
0.008,-0.19045480119172825
0.0085,-0.07408042912424086
0.009000000000000001,0.05164587979036473
0.009500000000000001,0.17085239647478065
0.01,0.2684904524888192
0.0105,0.33223418870189664
0.011000000000000001,0.35403657565547286
0.0115,0.33114527311182734
0.012000000000000002,0.2664500863578245
0.0125,0.16811815626978496
0.013000000000000001,0.048562936861268134
0.0135,-0.07712288308515147
0.014000000000000002,-0.1930726858323413
0.0145,-0.28464893153952997
0.015000000000000001,-0.3402910059301253
0.0155,-0.3529746359012983
0.016,-0.32109863598632205
0.0165,-0.2486870425152726
0.017,-0.1448811179935923
0.0175,-0.02278535522673116
0.018000000000000002,0.10218683800413501
0.0185,0.21425893242457672
0.019000000000000003,0.2992829113217543
0.019500000000000003,0.3465253206574412
0.02,0.35002226370701106
0.0205,0.3093322852717808
0.021,0.22959210112318118
0.021500000000000002,0.12086813737605909
0.022000000000000002,-0.0031142583338962396
0.022500000000000003,-0.12670350908493994
0.023,-0.2342976686995196
0.023500000000000004,-0.31231401637364714
0.024000000000000004,-0.35090374365526067
0.0245,-0.345195271144085
0.025,-0.295909238218822
0.0255,-0.20926752929362658
0.026000000000000002,-0.09620782115808466
0.026500000000000003,0.028997192806616844
0.027,0.15054159196283026
0.0275,0.25308157284630867
0.028000000000000004,0.32367245577763326
0.0285,0.3534028253268426
0.029,0.3385195102211379
0.029500000000000002,0.2809013848756619
0.030000000000000002,0.18782217969195555
0.030500000000000003,0.07103224302718154
0.031,-0.054724826505913544
0.03150000000000001,-0.17357341659979839
0.032,-0.2705100435804907
0.0325,-0.33329739694084476
0.033,-0.3540091812967056
0.0335,-0.33003073442787584
0.034,-0.2643891030653251
0.0345,-0.16537090755266162
0.035,-0.04547623626811462
0.0355,0.08015936949334732
0.036000000000000004,0.19567563104921298
0.036500000000000005,0.286489738936082
0.037,0.3411372913973057
0.037500000000000006,0.3527195640935608
0.038000000000000006,0.31977440724950196
0.0385,0.2464608279047267
0.03900000000000001,0.14203395554719217
0.0395,0.0196766716339161
0.04,-0.10516460154153394
0.04050000000000001,-0.21672986209401154
0.041,-0.30093507617877013
0.0415,-0.347150150886954
0.042,-0.3495408805428518
0.0425,-0.3078054586771328
0.043000000000000003,-0.22721257817117227
0.043500000000000004,-0.11793630979816712
0.044000000000000004,0.006228275695203884
0.044500000000000005,0.12960660169120752
0.045000000000000005,0.23662334922020672
0.045500000000000006,0.3137686901628636
0.046,0.3513037722329012
0.04650000000000001,0.34449015477574846
0.04700000000000001,0.29418799101828325
0.0475,0.20674744205290738
0.04800000000000001,0.09320703048901167
0.0485,-0.03209986613909139
0.049,-0.15335446549404758
0.0495,-0.25524954853034565
0.05,-0.3249218476771573
0.0505,-0.35357590981255094
0.051,-0.3375944370527085
0.051500000000000004,-0.27899493558301264
0.052000000000000005,-0.18517502503790292
0.0525,-0.06797856065407869
0.053000000000000005,0.05779953876764321
0.053500000000000006,0.17628100609992126
0.054,0.2725087033625348
0.05450000000000001,0.3343348155605961
0.055,0.3539543946988698
0.0555,0.32889065888992486
0.05600000000000001,0.2623076620844341
0.0565,0.16261086289782314
0.057,0.042386016851152626
0.0575,-0.0831896533940148
0.058,-0.19826343543373123
0.0585,-0.2883083785589304
0.059000000000000004,-0.34195718061621133
0.059500000000000004,-0.3524371998337226
0.060000000000000005,-0.3184254352645574
0.060500000000000005,-0.24421554284551403
0.061000000000000006,-0.13917580291107
0.0615,-0.0165664655153539
0.062,0.10813422773657236
